Sidney,NE,KSNY,41.1,102.99,1309,61271
Berlin,NH,KBML,44.58,71.18,354,66213
Manchester,NH,KMHT,42.93,71.44,67,62635
Sussex,NJ,KFWN,41.2,74.62,128,64567
Millville,NJ,KMIV,39.37,75.08,18,63938
Trenton,NJ,KTTN,40.28,74.82,56,65892
Albuquerque,NM,KABQ,35.04,106.62,1618,66443
Farmington,NM,KFMN,36.74,108.23,1675,65184
Roswell,NM,KROW,33.31,104.51,1112,65058
Elko,NV,KEKO,40.83,115.79,1533,66202
Las Vegas,NV,KLAS,36.07,115.16,664,66020
Reno,NV,KRNO,39.48,119.77,1344,58132
Tonopah,NV,KTPH,38.05,117.09,1644,63797
Las Vegas,NV,KVGT,36.21,115.2,672,66275
Albany,NY,KALB,42.75,73.8,85,66362
Buffalo,NY,KBUF,42.94,78.74,218,67341
Westhampton,NY,KFOK,40.84,72.63,20,62806
Syracuse,NY,KSYR,43.11,76.1,126,66092
Cleveland,OH,KBKL,41.52,81.68,178,63849
Dayton,OH,KDAY,39.91,84.22,306,67050
Cincinnati,OH,KLUK,39.1,84.42,149,65908
Columbus,OH,KOSU,40.08,83.08,276,66335
Toledo,OH,KTOL,41.59,83.81,205,63142
McAlester,OK,KMLC,34.88,95.78,235,64708
Tulsa,OK,KTUL,36.2,95.89,198,64873
Eugene,OR,KEUG,44.13,123.22,108,65698
Redmond,OR,KRDM,44.26,121.14,928,65855
Salem,OR,KSLE,44.9,123,62,66061
Portland,OR,KTTD,45.55,122.41,9,65234
Erie,PA,KERI,42.08,80.18,222,65615
Pittsburgh,PA,KPIT,40.48,80.21,367,66424
Philadelphia,PA,KPNE,40.08,75.01,30,66850
Providence,RI,KPVD,41.72,71.43,17,60468
Charleston,SC,KCHS,32.9,80.04,12,67336
Greenville,SC,KGMU,34.85,82.35,319,61027
Greenwood,SC,KGRD,34.25,82.16,192,64485
Sioux Falls,SD,KFSD,43.58,96.75,435,66624
Rapid City,SD,KRAP,44.04,103.05,963,63106
Nashville,TN,KBNA,36.12,86.69,183,66706
Chattanooga,TN,KCHA,35.03,85.2,204,66842
Bristol,TN,KTRI,36.48,82.4,456,60422
Knoxville,TN,KTYS,35.82,83.99,293,65713
Abilene,TX,KABI,32.41,99.68,546,62106
Amarillo,TX,KAMA,35.23,101.7,1098,67369
Dallas,TX,KDFW,32.9,97.02,171,63329
El Paso,TX,KELP,31.81,106.38,1194,63783
Ft. Stockton,TX,KFST,30.91,102.92,917,64549
San Antonio,TX,KSAT,29.54,98.48,240,65576
San Angelo,TX,KSJT,31.35,100.5,584,67230
Bryce Canyon,UT,KBCE,37.71,112.15,2313,64710
Cedar City,UT,KCDC,37.71,113.09,1703,63066
Logan,UT,KLGU,41.79,111.85,1358,65108
Salt Lake City,UT,KSLC,40.78,111.97,1288,60316
Norfolk,VA,KORF,36.9,76.19,9,63424
Richmond,VA,KRIC,37.51,77.32,50,67537
Roanoke,VA,KROA,37.32,79.97,358,67325
Wallops Island,VA,KWAL,37.94,75.47,14,64674
Burlington,VT,KBTV,44.47,73.15,101,64592
Seattle,WA,KBFI,47.53,122.3,7,66159
Spokane,WA,KSFF,47.68,117.32,596,66096
Yakima,WA,KYKM,46.57,120.54,324,63598
Eau Claire,WI,KEAU,44.87,91.49,270,66764
Green Bay,WI,KGRB,44.48,88.14,209,59831
Milwaukee,WI,KMKE,42.96,87.9,204,66823
Madison,WI,KMSN,43.14,89.35,264,64695
Racine,WI,KRAC,42.76,87.81,205,67459
Sheboygan,WI,KSBM,43.77,87.85,227,67330
Morgantown,WV,KMGW,39.64,79.92,378,66554
Martinsburg,WV,KMRB,39.4,77.94,163,66472
Big Piney,WY,KBPI,42.58,110.11,2124,64956
Casper,WY,KCPR,42.9,106.47,1619,61889
Cheyenne,WY,KCYS,41.16,104.81,1863,61921
Greybull,WY,KGEY,44.52,108.08,1201,63822
Lander,WY,KLND,42.81,108.73,1704,58536
